rank	nome	frequencia	percent
734	basso	22782	0.0112
735	estevam	22692	0.0112
736	batalha	22645	0.0112
737	sobreira	22637	0.0111
738	virgens	22619	0.0111
739	aguilar	22584	0.0111
740	fabricio	22503	0.0111
741	damasio	22465	0.0111
742	feijo	22447	0.0111
743	conrado	22378	0.011
744	seabra	22350	0.011
745	vilhena	22222	0.0109
746	cosmo	22194	0.0109
747	taveira	22192	0.0109
748	cirilo	22103	0.0109
749	estrela	22067	0.0109
750	lana	22059	0.0109
751	amarante	21998	0.0108
752	herculano	21958	0.0108
753	nepomuceno	21902	0.0108
754	filha	21890	0.0108
755	luisa	21827	0.0107
756	trevisan	21777	0.0107
757	golveia	21761	0.0107
758	gurgel	21733	0.0107
759	guimares	21728	0.0107
760	neiva	21678	0.0107
761	ciqueira	21664	0.0107
762	lorenzo	21645	0.0107
763	ananias	21593	0.0106
764	torquato	21557	0.0106
765	claudia	21476	0.0106
766	ignacio	21467	0.0106
767	palheta	21455	0.0106
768	fabiano	21432	0.0106
769	vitorio	21325	0.0105
770	hernandes	21322	0.0105
771	moises	21320	0.0105
772	jacob	21272	0.0105
773	gonzalez	21270	0.0105
774	munis	21250	0.0105
775	colombo	21245	0.0105
776	morales	21215	0.0104
777	maranhao	21192	0.0104
778	lage	21130	0.0104
779	escobar	21124	0.0104
780	kelly	21102	0.0104
781	mendoca	21101	0.0104
782	prudencio	21092	0.0104
783	celia	21090	0.0104
784	gouvea	21088	0.0104
785	duraes	21084	0.0104
786	dilva	21056	0.0104
787	serpa	21000	0.0103
788	marin	20971	0.0103
789	osorio	20958	0.0103
790	rosendo	20946	0.0103
791	laura	20929	0.0103
792	negrao	20865	0.0103
793	patrocinio	20853	0.0103
794	calvacante	20822	0.0103
795	siova	20789	0.0102
796	vera	20762	0.0102
797	pio	20728	0.0102
798	cirino	20670	0.0102
799	neris	20660	0.0102
800	montenegro	20642	0.0102
801	ponte	20625	0.0102
802	leticia	20601	0.0101
803	calado	20598	0.0101
804	luzia	20571	0.0101
805	hilario	20529	0.0101
806	barcellos	20527	0.0101
807	ruas	20510	0.0101
808	sao	20502	0.0101
809	narciso	20487	0.0101
810	naves	20467	0.0101
811	bernadino	20402	0.01
812	rodrugues	20351	0.01
813	silvino	20346	0.01
814	thomaz	20333	0.01
815	hoffmann	20319	0.01
816	francelino	20303	0.01
817	tiago	20195	0.0099
818	martis	20188	0.0099
819	algusto	20152	0.0099
820	wagner	20073	0.0099
821	soarea	20038	0.0099
822	ortega	20003	0.0098
823	feitoza	19956	0.0098
824	sardinha	19949	0.0098
825	marcedo	19946	0.0098
826	vasques	19944	0.0098
827	simas	19929	0.0098
828	fonceca	19921	0.0098
829	dornelas	19889	0.0098
830	ailva	19862	0.0098
831	luma	19846	0.0098
832	caixeta	19833	0.0098
833	emidio	19807	0.0098
834	alexandrino	19778	0.0097
835	nova	19736	0.0097
836	forte	19726	0.0097
837	berto	19673	0.0097
838	hipolito	19671	0.0097
839	tereza	19648	0.0097
840	nao	19593	0.0096
841	alburquerque	19558	0.0096
842	froes	19481	0.0096
843	pestana	19459	0.0096
844	braganca	19412	0.0096
845	inocencio	19351	0.0095
846	douglas	19342	0.0095
847	campo	19309	0.0095
848	ana	19301	0.0095
849	britto	19285	0.0095
850	luca	19269	0.0095
851	vasconcellos	19247	0.0095
852	lazaro	19227	0.0095
853	landim	19205	0.0095
854	juliao	19196	0.0095
855	macario	19163	0.0094
856	salviano	19131	0.0094
857	dinis	19096	0.0094
858	tolentino	19078	0.0094
859	aranha	19067	0.0094
860	reinaldo	19062	0.0094
861	nascinento	18991	0.0094
862	pecanha	18943	0.0093
863	zeferino	18942	0.0093
864	solsa	18901	0.0093
865	conde	18818	0.0093
866	ines	18681	0.0092
867	sabtos	18641	0.0092
868	felizardo	18626	0.0092
869	pedreira	18600	0.0092
870	camargos	18599	0.0092
871	boa	18539	0.0091
872	gontijo	18334	0.009
873	saturnino	18275	0.009
874	lelis	18253	0.009
875	severiano	18232	0.009
876	medrado	18223	0.009
877	freires	18213	0.009
878	raquel	17996	0.0089
879	limeira	17978	0.0089
880	gaia	17976	0.0089
881	lucca	17951	0.0088
882	auxiliadora	17935	0.0088
883	bernardi	17883	0.0088
884	valenca	17860	0.0088
885	bernades	17836	0.0088
886	valadao	17798	0.0088
887	peteira	17777	0.0088
888	miller	17755	0.0087
889	vanderlei	17698	0.0087
890	eloi	17687	0.0087
891	rech	17670	0.0087
892	albano	17626	0.0087
893	mantovani	17621	0.0087
894	taborda	17512	0.0086
895	sanchez	17483	0.0086
896	baltazar	17468	0.0086
897	romeiro	17465	0.0086
898	nere	17453	0.0086
899	martini	17387	0.0086
