nome	frequencia	frequencia_normalizada
sofia	74888.0	0.00041779012710626396
yuri	74645.0	0.0004164344626354966
denilson	74457.0	0.0004153856358021458
ariane	74350.0	0.0004147886971257174
iago	74286.0	0.00041443164969308735
mariane	74021.0	0.00041295325016735344
suzana	73944.0	0.00041252367747497036
eder	73915.0	0.00041236189035705987
clarice	73641.0	0.0004108332810361124
daiana	73353.0	0.00040922656758927707
charles	73144.0	0.00040806058456709446
marlon	72943.0	0.0004069392324739906
alison	72936.0	0.00040690018041104675
eric	72566.0	0.0004048359999411541
jonatan	72380.0	0.000403798330840073
edilene	72006.0	0.000401711834905641
elton	71897.0	0.0004011037384969429
weslei	71075.0	0.0003965179105341004
miriam	71032.0	0.00039627801929030207
natanael	70645.0	0.0003941189980961171
erick	70493.0	0.0003932710104436207
elisabete	70460.0	0.0003930869078611708
eliete	70433.0	0.00039293627847553
karine	69751.0	0.00038913149177156577
kauan	69394.0	0.00038713983656142614
agnaldo	69092.0	0.00038545501898870296
odete	68991.0	0.00038489155350908367
jussara	68817.0	0.00038392083080162064
izabel	68785.0	0.0003837423070853056
luisa	68539.0	0.0003823699060161338
karen	68531.0	0.000382325275087055
odair	68473.0	0.000382001700851234
geovane	68100.0	0.00037992078378293684
alana	67964.0	0.00037916205798859797
cassia	67901.0	0.0003788105894221027
monique	67780.0	0.0003781355466197865
catia	67600.0	0.0003771313507155144
walter	67360.0	0.0003757924228431516
deise	67193.0	0.00037486075219863256
isabele	66868.0	0.00037304762070480797
arlindo	66824.0	0.00037280215059487477
evelin	66744.0	0.0003723558413040872
keila	66604.0	0.0003715748000452089
michael	66277.0	0.0003697505108191146
adriele	66197.0	0.00036930420152832705
andreza	66163.0	0.0003691145200797423
joseane	66046.0	0.00036846179274196544
alvaro	65710.0	0.0003665872937206576
lourdes	65031.0	0.0003627992436150979
yasmim	65013.0	0.00036269882402467066
ezequiel	64678.0	0.00036082990386949765
everaldo	64560.0	0.00036017159766558597
almir	64554.0	0.0003601381244687769
alzira	64386.0	0.00035920087495812294
nadir	64267.0	0.0003585369898880764
carina	63555.0	0.00035456483720006684
darci	63320.0	0.0003532538036583783
erika	63167.0	0.000352400237139747
ivo	63090.0	0.00035197066444736394
ademar	62815.0	0.0003504364762602816
ramon	62807.0	0.00035039184533120285
gislaine	62805.0	0.00035038068759893316
jamile	62243.0	0.00034724536483115036
emily	62238.0	0.0003472174705004761
claudete	62115.0	0.0003465312699658902
catarina	61865.0	0.000345136553432179
filipe	61732.0	0.0003443945642362446
william	61528.0	0.00034325647554473625
gessica	61291.0	0.000341934284270778
manuela	61231.0	0.0003415995523026873
jonatas	61116.0	0.00034095798269718016
elen	60470.0	0.00033735403517407036
geni	60387.0	0.00033689098928487825
telma	60314.0	0.00033648373205703456
ivanildo	60013.0	0.00033480449335044623
romario	59881.0	0.0003340680830206467
arlete	59867.0	0.0003339899788947589
heloisa	59261.0	0.0003306091860170429
valdirene	59218.0	0.00033036929477324456
elizete	59084.0	0.00032962172671117533
valquiria	58921.0	0.0003287123715311956
jackson	58806.0	0.0003280708019256885
eloisa	58707.0	0.0003275184941783388
kaua	58155.0	0.00032443896007190444
natan	57981.0	0.00032346823736444146
gilvan	57865.0	0.0003228210888927994
josimar	57699.0	0.00032189499711441516
jonathan	57673.0	0.0003217499465949092
alfredo	57357.0	0.0003199870248962982
juliane	57266.0	0.00031947934807802735
zelia	57090.0	0.0003184974676382946
raul	57086.0	0.00031847515217375523
dirce	57048.0	0.0003182631552606312
jandira	56911.0	0.0003174988506001574
emili	56897.0	0.00031742074647426956
bernardo	56893.0	0.00031739843100973017
gean	56780.0	0.0003167680191364927
fabiola	56645.0	0.00031601487220828865
carmen	56605.0	0.00031579171756289484
estefani	56566.0	0.00031557414178363594
josias	56550.0	0.0003154848799254784
rejane	56389.0	0.00031458668247776836
rodolfo	56316.0	0.00031417942524992467
amelia	56282.0	0.00031398974380133994
maira	56220.0	0.00031364385410097956
lazaro	56218.0	0.00031363269636870987
lucio	56048.0	0.0003126842891257863
vilmar	55836.0	0.00031150156950519913
anna	55609.0	0.00031023516689258933
jefferson	55090.0	0.0003073397353686049
juraci	54987.0	0.00030676511215671585
elisa	54867.0	0.0003060956482205345
rute	54753.0	0.00030545965748116213
alcides	54708.0	0.00030520860850509414
luzinete	54624.0	0.00030473998374976714
elizabeth	54611.0	0.0003046674584900142
iolanda	54423.0	0.0003036186316566633
pricila	54307.0	0.0003029714831850213
valdomiro	54023.0	0.0003013870852027254
armando	53677.0	0.00029945679752006906
cassio	53498.0	0.0002984581804819318
romulo	53441.0	0.00029814018511224564
ednaldo	53334.0	0.0002975432464358172
weliton	53332.0	0.00029753208870354753
airton	53186.0	0.0002967175742478602
rosalina	53034.0	0.0002958695865953638
madalena	52797.0	0.00029454739532140553
leidiane	52443.0	0.00029257247670967044
roseane	52219.0	0.0002913228106954652
maisa	52144.0	0.0002909043957353518
olga	52082.0	0.0002905585060349914
camile	51977.0	0.00028997272509083275
emilia	51734.0	0.0002886170606200654
fabiane	51711.0	0.000288488746698964
claudemir	51579.0	0.00028775233636916446
nadia	51334.0	0.0002863855141661275
caique	50885.0	0.00028388060327158213
marilda	50869.0	0.0002837913414134246
edite	50772.0	0.00028325019139834463
welington	50612.0	0.00028235757281676945
sirlei	50588.0	0.0002822236800295332
paola	50553.0	0.0002820284197148136
vivian	50550.0	0.00028201168311640907
richard	50270.0	0.0002804496005986525
iris	50228.0	0.000280215288220989
nathalia	50108.0	0.00027954582428480764
cleuza	50005.0	0.0002789712010729186
valdete	49878.0	0.0002782626850737933
lucimara	49818.0	0.0002779279531057026
patrick	49439.0	0.0002758135628405964
tamara	49282.0	0.0002749376808574258
laercio	49225.0	0.0002746196854877396
glaucia	49183.0	0.00027438537311007613
edmar	49110.0	0.00027397811588223244
ligia	49020.0	0.0002734760179300964
afonso	48674.0	0.0002715457302474401
nubia	48672.0	0.0002715345725151704
rose	48516.0	0.00027066426939813455
noemia	48510.0	0.0002706307962013255
margarete	48486.0	0.0002704969034140892
damiana	48464.0	0.00027037416835912263
clovis	48361.0	0.0002697995451472336
salete	48215.0	0.00026898503069154627
adalberto	48146.0	0.00026860008892824196
celina	48127.0	0.00026849409047167993
nayara	47968.0	0.0002676070507562396
rosiane	47954.0	0.00026752894663035175
ivete	47806.0	0.0002667032744423947
jurandir	47738.0	0.00026632391154522527
lucineia	47362.0	0.00026422625787852355
enzo	47343.0	0.0002641202594219615
graziele	47171.0	0.0002631606944467682
angelina	46803.0	0.0002611076717091453
gloria	46774.0	0.0002609458845912348
norma	46688.0	0.0002604661021036381
elenice	46522.0	0.0002595400103252539
edgar	46435.0	0.00025905464897152234
adriane	46407.0	0.0002588984407197467
hilda	46403.0	0.0002588761252552073
edimilson	46382.0	0.0002587589690663756
iasmin	46330.0	0.00025846886802736367
rosilda	46297.0	0.0002582847654449138
humberto	46222.0	0.0002578663504848004
saulo	46202.0	0.0002577547731621035
cauan	45958.0	0.00025639352982520134
sidney	45889.0	0.00025600858806189704
alexsandro	45771.0	0.00025535028185798536
juan	45735.0	0.00025514944267713093
maristela	45433.0	0.00025346462510440776
lucineide	45393.0	0.000253241470459014
edinaldo	45365.0	0.00025308526220723835
sirlene	45293.0	0.0002526835838455295
silmara	45122.0	0.000251729597736471
ruth	45062.0	0.0002513948657683803
mariza	44989.0	0.00025098760854053663
victoria	44950.0	0.0002507700327612777
silvania	44682.0	0.0002492748966371393
jonata	44613.0	0.00024888995487383497
itamar	44580.0	0.0002487058522913851
lindomar	44464.0	0.0002480587038197431
nilda	44455.0	0.0002480084940245295
ellen	44341.0	0.0002473725032851572
ivani	44328.0	0.0002472999780254042
evaldo	44173.0	0.00024643525377450324
eli	44081.0	0.0002459219980900975
andresa	44067.0	0.00024584389396420966
melissa	43887.0	0.0002448396980599376
kaique	43857.0	0.00024467233207589226
ari	43604.0	0.00024326087894377648
jeane	43592.0	0.00024319393255015835
adailton	43575.0	0.000243099091825866
creuza	43464.0	0.0002424798376848982
vilson	43319.0	0.0002416709020953457
lindalva	43064.0	0.00024024829123096025
rosineide	43004.0	0.00023991355926286954
jacira	42936.0	0.0002395341963657001
divino	42843.0	0.0002390153618151595
juarez	42811.0	0.00023883683809884448
cosme	42773.0	0.0002386248411857204
gabrieli	42717.0	0.00023831242468216906
danieli	42655.0	0.00023796653498180868
genivaldo	42622.0	0.0002377824323993588
dirceu	42552.0	0.00023739191176991967
erik	42399.0	0.0002365383452512884
iasmim	42368.0	0.0002363654004011082
alaide	42326.0	0.00023613108802344473
joyce	42320.0	0.00023609761482663565
edina	42163.0	0.000235221732843465
amilton	42018.0	0.0002344127972539125
valdinei	41972.0	0.00023415616941170964
josilene	41827.0	0.00023334723382215713
andrei	41725.0	0.00023277818947640294
judite	41518.0	0.00023162336418649005
marinete	41253.0	0.00023014496466075614
divina	41184.0	0.00022976002289745186
olivia	41175.0	0.00022970981310223824
roger	40981.0	0.00022862751307207833
lauro	40890.0	0.00022811983625380746
micheli	40860.0	0.0002279524702697621
graziela	40833.0	0.0002278018408841213
roque	40779.0	0.00022750058211283968
dilma	40632.0	0.00022668048879101747
karla	40342.0	0.00022506261761191245
elena	40101.0	0.00022371811087341483
cristiana	39955.0	0.00022290359641772748
maura	39934.0	0.00022278644022889575
carine	39687.0	0.00022140846029358906
jhonatan	39686.0	0.0002214028814274542
diva	39554.0	0.00022066647109765468
irani	39543.0	0.0002206051035701714
lorival	39530.0	0.00022053257831041842
geane	39291.0	0.0002191992293041905
vanusa	39218.0	0.0002187919720763468
magno	39068.0	0.00021795514215612008
rayane	39046.0	0.00021783240710115349
leda	39020.0	0.00021768735658164753
deivid	38970.0	0.00021740841327490528
estela	38943.0	0.00021725778388926445
donizete	38833.0	0.00021664410861443152
taiane	38816.0	0.00021654926789013915
ivanete	38795.0	0.00021643211170130743
robert	38733.0	0.00021608622200094702
erivaldo	38678.0	0.00021577938436353057
virginia	38521.0	0.00021490350238035993
keli	38515.0	0.00021487002918355085
marcus	38512.0	0.0002148532925851463
carmelita	38501.0	0.00021479192505766302
rui	38333.0	0.00021385467554700907
wendel	38304.0	0.00021369288842909857
helen	38277.0	0.00021354225904345777
samira	38237.0	0.00021331910439806396
emanuele	38164.0	0.0002129118471702203
milene	38098.0	0.00021254364200532053
joelson	37970.0	0.00021182954714006038
neli	37902.0	0.00021145018424289093
elio	37816.0	0.00021097040175529428
altair	37797.0	0.00021086440329873223
oscar	37767.0	0.00021069703731468688
dayane	37711.0	0.00021038462081113556
stefani	37521.0	0.00020932463624551503
zenaide	37500.0	0.00020920748005668328
inacio	37465.0	0.0002090122197419637
giovanna	37438.0	0.0002088615903563229
meire	37373.0	0.00020849896405755798
anita	37323.0	0.00020822002075081573
isaura	37278.0	0.00020796897177474772
jailton	37066.0	0.0002067862521541606
isac	37004.0	0.00020644036245380022
domingas	36928.0	0.00020601636862755201
adelia	36908.0	0.0002059047913048551
geovani	36907.0	0.00020589921243872026
frederico	36821.0	0.00020541942995112362
laiane	36790.0	0.00020524648510094343
heitor	36752.0	0.00020503448818781931
marines	36750.0	0.00020502333045554962
natali	36619.0	0.00020429249899188494
vanderleia	36614.0	0.00020426460466121073
isabella	36375.0	0.00020293125565498278
quiteria	36305.0	0.00020254073502554365
george	36239.0	0.0002021725298606439
sarah	36228.0	0.0002021111623331606
bernadete	36211.0	0.00020201632160886824
aurea	36143.0	0.00020163695871169878
amauri	36059.0	0.0002011683339563718
ian	36043.0	0.00020107907209821428
romildo	35972.0	0.0002006829726026403
danielle	35963.0	0.0002006327628074267
ivanilda	35851.0	0.00020000792980032407
jesus	35774.0	0.00019957835710794102
josiel	35738.0	0.0001993775179270866
kleber	35606.0	0.00019864110759728706
levi	35520.0	0.00019816132510969042
kaio	35484.0	0.000197960485928836
leonice	35480.0	0.0001979381704642966
aldo	35413.0	0.000197564386433262
ane	35365.0	0.00019729660085878944
kevin	35290.0	0.00019687818589867609
isaque	35186.0	0.00019629798382065223
shirley	35155.0	0.00019612503897047201
francieli	35145.0	0.00019606925030912358
izabela	34967.0	0.00019507621213712118
amarildo	34941.0	0.00019493116161761523
edison	34927.0	0.0001948530574917274
magda	34793.0	0.00019410548942965818
edileuza	34733.0	0.0001937707574615675
edimar	34627.0	0.00019317939765127392
silas	34591.0	0.00019297855847041952
marizete	34545.0	0.00019272193062821663
rosemeire	34541.0	0.00019269961516367727
joselia	34504.0	0.000192493197116688
leandra	34464.0	0.0001922700424712942
ryan	34308.0	0.0001913997393542584
adenilson	34260.0	0.00019113195377978585
max	34224.0	0.00019093111459893142
tales	34146.0	0.00019049596304041353
messias	34115.0	0.00019032301819023334
mirela	34050.0	0.00018996039189146842
washington	33901.0	0.00018912914083737655
alcione	33898.0	0.000189112404238972
eliza	33758.0	0.0001883313629800937
josenildo	33713.0	0.0001880803140040257
suely	33573.0	0.00018729927274514741
luci	33447.0	0.00018659633561215696
salvador	33395.0	0.00018630623457314502
fabricia	33355.0	0.00018608307992775124
cibele	33332.0	0.0001859547660066498
